Codigo	Stream	Aquaculture	Month	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_ip	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
FAL3D17	Bagre	No_propagule	Dezembro	Foz	0	0	0	0	0	31	0	0	31	31	0	0	0	0	62	0	0	0	94	0	31	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	31	0	156	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	31	0	0	344	0	0	0	31	0	0	0	0	0	0	0
FAL1M18	Bagre	No_propagule	Marco	Cabeceira	519	0	0	0	0	177	0	0	89	0	89	0	0	336	89	89	266	0	444	0	0	0	0	0	0	0	519	0	0	0	463	89	0	0	89	0	15605	0	0	0	0	0	0	0	0	0	0	193	0	0	0	1482	0	89	0	0	0	0	0	0	0	0	853	0	741	0	0	0	273	0
FAL2M18	Bagre	No_propagule	Marco	Meio	0	0	0	0	0	83	0	0	145	0	0	0	366	0	4171	0	0	0	0	0	38	0	0	38	0	0	0	0	0	0	334	0	0	38	38	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAL3M18	Bagre	No_propagule	Marco	Foz	0	0	0	0	30	91	0	0	30	252	0	0	689	0	152	0	0	30	0	0	66	0	0	30	0	0	0	0	0	0	91	0	30	0	0	0	60	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	60	0	0	0	0	0	0	0	0	0	0	0	0	30	0
FAL1J18	Bagre	No_propagule	Junho	Cabeceira	249	0	0	0	0	0	0	0	162	0	162	0	0	324	474	162	499	0	649	0	81	0	0	0	0	0	0	0	0	0	324	243	0	0	162	162	6552	0	0	0	0	0	0	0	0	0	0	0	162	0	0	1771	0	81	0	0	0	0	0	0	0	0	774	0	81	0	0	0	81	0
FAL2J18	Bagre	No_propagule	Junho	Meio	47	0	0	0	0	47	0	0	554	146	0	0	47	416	2489	0	0	0	0	0	142	277	0	142	0	0	0	0	0	0	103	103	47	47	47	0	237	0	0	278	0	237	0	0	0	0	0	0	0	0	0	485	0	47	0	359	0	0	95	0	0	0	192	0	95	0	0	47	0	0
FAL3J18	Bagre	No_propagule	Junho	Foz	0	0	0	0	0	66	0	0	99	405	33	0	516	0	66	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	165	0	33	0	0	0	66	0	33	440	0	33	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
FAL1S18	Bagre	No_propagule	Setembro	Cabeceira	0	0	0	0	0	0	0	0	0	0	206	0	0	986	0	95	1370	0	2208	0	206	0	0	0	0	0	0	0	0	0	189	189	0	94	94	0	3155	0	0	0	0	189	0	0	0	0	0	0	0	0	0	552	0	0	0	0	0	0	0	0	0	0	960	0	189	0	0	0	0	0
FAL2S18	Bagre	No_propagule	Setembro	Meio	48	0	0	0	0	0	0	48	358	0	48	0	0	0	5044	0	0	0	242	0	48	0	0	48	0	48	48	0	0	0	48	48	0	0	0	0	615	0	0	0	0	878	0	0	0	0	0	0	0	0	0	284	48	0	405	1493	0	0	358	0	0	0	340	0	0	0	0	97	48	0
FAL3S18	Bagre	No_propagule	Setembro	Foz	0	0	0	0	0	0	0	0	107	582	0	0	0	0	35	0	0	0	69	0	509	0	0	75	0	0	0	0	0	0	139	104	0	0	0	0	139	0	0	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	139	0	0	0	0	0	0	75	0	0	0	0	0	0	0
